sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",92.5,89.16666666666667,90.0,85.0,85.83333333333333,88.5,22.292344093322754
"(3, 2, 0, 1, 4)",80.83333333333333,84.16666666666667,97.5,88.33333333333333,73.33333333333333,84.83333333333333,22.26093554496765
"(3, 4, 2, 1, 0)",92.5,90.83333333333333,88.33333333333333,90.0,95.83333333333333,91.49999999999999,22.23017406463623
"(4, 3, 0, 1, 2)",78.33333333333333,80.83333333333333,77.5,78.33333333333333,60.0,75.0,21.645915985107422
"(1, 2, 0, 3, 4)",90.0,83.33333333333333,99.16666666666667,92.5,87.5,90.5,21.960110664367676
"(3, 2, 1, 4, 0)",91.66666666666667,85.83333333333333,88.33333333333333,88.33333333333333,96.66666666666667,90.16666666666666,22.275602340698242
"(4, 0, 1, 2, 3)",90.0,99.16666666666667,88.33333333333333,86.66666666666667,93.33333333333333,91.5,22.31080675125122
"(4, 2, 0, 3, 1)",73.33333333333333,84.16666666666667,92.5,79.16666666666667,76.66666666666667,81.16666666666667,22.209502458572388
"(1, 4, 3, 2, 0)",87.5,87.5,94.16666666666667,85.83333333333333,90.0,89.0,21.56976008415222
"(3, 1, 0, 4, 2)",79.16666666666667,77.5,72.5,66.66666666666667,60.833333333333336,71.33333333333334,21.257568359375
"(3, 2, 4, 0, 1)",85.0,90.83333333333333,74.16666666666667,97.5,83.33333333333333,86.16666666666666,21.389450788497925
"(0, 3, 4, 1, 2)",77.5,80.0,68.33333333333333,75.83333333333333,58.333333333333336,71.99999999999999,21.243391513824463
"(4, 0, 1, 3, 2)",83.33333333333333,91.66666666666667,84.16666666666667,93.33333333333333,78.33333333333333,86.16666666666666,21.75861620903015
"(2, 4, 1, 0, 3)",81.66666666666667,66.66666666666667,82.5,90.83333333333333,81.66666666666667,80.66666666666667,21.3198299407959
"(0, 2, 3, 1, 4)",92.5,69.16666666666667,53.333333333333336,60.833333333333336,51.666666666666664,65.50000000000001,21.579521894454956
"(0, 2, 1, 4, 3)",65.83333333333333,64.16666666666667,69.16666666666667,57.5,60.0,63.333333333333336,21.251604795455933
"(0, 1, 2, 4, 3)",95.0,87.5,89.16666666666667,88.33333333333333,84.16666666666667,88.83333333333334,21.56922149658203
"(3, 1, 0, 2, 4)",87.5,84.16666666666667,88.33333333333333,67.5,77.5,81.0,21.81613826751709
"(1, 0, 3, 2, 4)",81.66666666666667,99.16666666666667,85.83333333333333,65.0,77.5,81.83333333333334,22.013882160186768
"(0, 4, 2, 3, 1)",98.33333333333333,92.5,87.5,90.83333333333333,87.5,91.33333333333333,22.18482756614685
