sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",92.5,89.16666666666667,90.0,85.0,85.83333333333333,88.5,22.207582473754883
"(3, 2, 0, 1, 4)",80.83333333333333,84.16666666666667,97.5,88.33333333333333,73.33333333333333,84.83333333333333,22.665026903152466
"(3, 4, 2, 1, 0)",92.5,90.83333333333333,88.33333333333333,90.0,95.83333333333333,91.49999999999999,21.77846670150757
"(4, 3, 0, 1, 2)",78.33333333333333,80.83333333333333,77.5,78.33333333333333,60.0,75.0,21.780248165130615
"(1, 2, 0, 3, 4)",90.0,83.33333333333333,99.16666666666667,92.5,87.5,90.5,22.018219232559204
"(3, 2, 1, 4, 0)",91.66666666666667,85.83333333333333,88.33333333333333,88.33333333333333,96.66666666666667,90.16666666666666,22.5325870513916
"(4, 0, 1, 2, 3)",90.0,99.16666666666667,88.33333333333333,86.66666666666667,93.33333333333333,91.5,21.776893138885498
"(4, 2, 0, 3, 1)",73.33333333333333,84.16666666666667,92.5,79.16666666666667,76.66666666666667,81.16666666666667,21.76840376853943
"(1, 4, 3, 2, 0)",87.5,87.5,94.16666666666667,85.83333333333333,90.0,89.0,23.49452495574951
"(3, 1, 0, 4, 2)",79.16666666666667,77.5,72.5,66.66666666666667,60.833333333333336,71.33333333333334,21.84123420715332
"(3, 2, 4, 0, 1)",85.0,90.83333333333333,74.16666666666667,97.5,83.33333333333333,86.16666666666666,22.635936737060547
"(0, 3, 4, 1, 2)",77.5,80.0,68.33333333333333,75.83333333333333,58.333333333333336,71.99999999999999,22.37911820411682
"(4, 0, 1, 3, 2)",83.33333333333333,91.66666666666667,84.16666666666667,93.33333333333333,78.33333333333333,86.16666666666666,22.771361351013184
"(2, 4, 1, 0, 3)",81.66666666666667,66.66666666666667,82.5,90.83333333333333,81.66666666666667,80.66666666666667,21.275554656982422
"(0, 2, 3, 1, 4)",92.5,69.16666666666667,53.333333333333336,60.833333333333336,51.666666666666664,65.50000000000001,22.21484899520874
"(0, 2, 1, 4, 3)",65.83333333333333,64.16666666666667,69.16666666666667,57.5,60.0,63.333333333333336,22.431013345718384
"(0, 1, 2, 4, 3)",95.0,87.5,89.16666666666667,88.33333333333333,84.16666666666667,88.83333333333334,21.855072498321533
"(3, 1, 0, 2, 4)",87.5,84.16666666666667,88.33333333333333,67.5,77.5,81.0,22.283671855926514
"(1, 0, 3, 2, 4)",81.66666666666667,99.16666666666667,85.83333333333333,65.0,77.5,81.83333333333334,22.10074758529663
"(0, 4, 2, 3, 1)",98.33333333333333,92.5,87.5,90.83333333333333,87.5,91.33333333333333,22.600207567214966
